datetime,pow_P,temp,shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),global_tilted_irradiance (W/m²)
2024-09-18 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-18 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-18 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-18 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-18 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19 05:00:00,868.0,39.09,0.0,0.0,0.0,0.0
2024-09-19 06:00:00,10668.0,44.93,1.5,-0.1,1.6,1.5
2024-09-19 07:00:00,9577.0,44.45,86.3,17.3,69.0,86.3
2024-09-19 08:00:00,4591.0,49.74,201.2,53.0,148.2,201.2
2024-09-19 09:00:00,17474.0,55.75,220.5,29.2,191.3,220.5
2024-09-19 10:00:00,8250.0,49.01,434.3,115.0,319.3,434.3
2024-09-19 11:00:00,73910.0,55.3,310.5,19.6,290.9,310.5
2024-09-19 12:00:00,49100.0,61.23,365.2,37.4,327.8,365.2
2024-09-19 13:00:00,32357.0,61.75,708.3,304.6,403.7,708.3
2024-09-19 14:00:00,59800.0,59.4,657.8,311.3,346.5,657.8
2024-09-19 15:00:00,6962.0,49.08,573.8,315.9,257.9,573.8
2024-09-19 16:00:00,4962.0,49.28,284.8,89.3,195.6,284.8
2024-09-19 17:00:00,0.0,45.56,95.5,11.2,84.3,95.5
2024-09-19 18:00:00,0.0,0.0,15.5,-0.3,15.8,15.5
2024-09-19 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-20 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-20 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-20 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-20 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-20 05:00:00,687.0,38.95,0.0,0.0,0.0,0.0
2024-09-20 06:00:00,14844.0,40.65,1.7,-0.1,1.8,1.7
2024-09-20 07:00:00,15280.0,45.42,91.3,20.2,71.2,91.3
2024-09-20 08:00:00,47600.0,54.370000000000005,230.2,75.2,155.0,230.2
2024-09-20 09:00:00,27545.0,53.78,403.8,165.8,238.0,403.8
2024-09-20 10:00:00,78220.0,60.620000000000005,501.8,177.9,324.0,501.8
2024-09-20 11:00:00,45850.0,54.55,677.0,295.3,381.7,677.0
2024-09-20 12:00:00,4958.0,47.63,504.2,104.2,399.9,504.2
2024-09-20 13:00:00,1537.0,44.81,240.8,8.6,232.3,240.8
2024-09-20 14:00:00,757.0,42.69,43.2,0.1,43.0,43.2
2024-09-20 15:00:00,625.0,41.31,21.2,0.0,21.1,21.2
2024-09-20 16:00:00,289.0,44.87,6.8,0.1,6.7,6.8
2024-09-20 17:00:00,0.0,0.0,3.0,0.0,3.0,3.0
2024-09-20 18:00:00,0.0,0.0,20.5,0.2,20.3,20.5
2024-09-20 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-20 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-20 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-20 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-20 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-21 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-21 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-21 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-21 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-21 05:00:00,1385.0,38.32,0.0,0.0,0.0,0.0
2024-09-21 06:00:00,10258.0,44.78,5.2,-0.2,5.4,5.2
2024-09-21 07:00:00,17013.0,45.53,136.2,54.7,81.5,136.2
2024-09-21 08:00:00,9322.0,47.69,237.0,81.0,156.0,237.0
2024-09-21 09:00:00,39780.0,50.86,273.0,55.6,217.4,273.0
2024-09-21 10:00:00,19079.0,53.86,338.0,50.7,287.3,338.0
2024-09-21 11:00:00,8813.0,46.8,526.8,137.9,389.0,526.8
2024-09-21 12:00:00,10661.0,46.06,172.7,7.7,164.9,172.7
2024-09-21 13:00:00,12881.0,48.04,198.2,5.1,193.1,198.2
2024-09-21 14:00:00,4023.0,47.45,170.7,0.3,170.4,170.7
2024-09-21 15:00:00,4294.0,46.1,66.0,-0.2,66.2,66.0
2024-09-21 16:00:00,1449.0,45.63,22.2,0.3,21.8,22.2
2024-09-21 17:00:00,0.0,0.0,36.8,0.9,36.0,36.8
2024-09-21 18:00:00,0.0,0.0,11.5,-0.4,11.9,11.5
2024-09-21 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-21 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-21 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-21 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-21 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-22 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-22 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-22 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-22 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-22 05:00:00,0.0,36.11,0.0,0.0,0.0,0.0
2024-09-22 06:00:00,4275.0,43.32,3.3,-0.2,3.5,3.3
2024-09-22 07:00:00,8123.0,40.55,69.7,9.2,60.4,69.7
2024-09-22 08:00:00,13840.0,44.3,128.2,15.6,112.5,128.2
2024-09-22 09:00:00,22820.0,49.57,204.2,23.1,181.1,204.2
2024-09-22 10:00:00,19659.0,51.28,254.7,17.6,237.0,254.7
2024-09-22 11:00:00,22403.0,53.83,229.7,4.9,224.8,229.7
2024-09-22 12:00:00,32770.0,52.22,268.2,14.9,253.3,268.2
2024-09-22 13:00:00,22039.0,53.99,362.3,34.1,328.2,362.3
2024-09-22 14:00:00,24433.0,54.43,418.7,78.8,339.9,418.7
2024-09-22 15:00:00,13909.0,51.82,364.5,92.6,271.9,364.5
2024-09-22 16:00:00,2010.0,48.71,174.8,23.7,151.1,174.8
2024-09-22 17:00:00,0.0,45.28,54.2,2.4,51.8,54.2
2024-09-22 18:00:00,0.0,0.0,11.7,-0.4,12.0,11.7
2024-09-22 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-22 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-22 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-22 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-22 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23 05:00:00,633.0,37.88,0.0,0.0,0.0,0.0
2024-09-23 06:00:00,10298.0,44.63,5.7,-0.2,5.8,5.7
2024-09-23 07:00:00,35080.0,48.1,153.7,70.2,83.5,153.7
2024-09-23 08:00:00,55680.0,56.91,319.8,166.4,153.5,319.8
2024-09-23 09:00:00,50070.0,59.88,549.0,349.4,199.6,549.0
2024-09-23 10:00:00,27188.0,60.94,632.5,337.0,295.5,632.5
2024-09-23 11:00:00,27931.0,51.82,650.0,264.4,385.6,650.0
2024-09-23 12:00:00,37800.0,60.57,541.3,131.1,410.2,541.3
2024-09-23 13:00:00,19101.0,52.6,580.2,170.2,410.0,580.2
2024-09-23 14:00:00,36590.0,54.620000000000005,395.5,65.3,330.2,395.5
2024-09-23 15:00:00,19273.0,53.3,626.2,396.3,229.8,626.2
2024-09-23 16:00:00,349.0,49.53,291.0,97.7,193.3,291.0
2024-09-23 17:00:00,0.0,44.36,116.5,20.3,96.2,116.5
2024-09-23 18:00:00,0.0,0.0,10.7,-0.4,11.0,10.7
2024-09-23 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24 05:00:00,569.0,38.26,0.0,0.0,0.0,0.0
2024-09-24 06:00:00,8640.0,44.63,3.3,-0.2,3.5,3.3
2024-09-24 07:00:00,15681.0,46.38,92.5,20.8,71.7,92.5
2024-09-24 08:00:00,26670.0,52.27,315.7,161.5,154.1,315.7
2024-09-24 09:00:00,34550.0,53.58,405.7,168.1,237.6,405.7
2024-09-24 10:00:00,33090.0,53.35,490.8,167.7,323.1,490.8
2024-09-24 11:00:00,29934.0,55.28,445.8,79.4,366.4,445.8
2024-09-24 12:00:00,30588.0,54.23,597.2,178.7,418.5,597.2
2024-09-24 13:00:00,30355.0,54.02,491.2,99.6,391.6,491.2
2024-09-24 14:00:00,18805.0,51.31,539.3,181.0,358.3,539.3
2024-09-24 15:00:00,10031.0,51.74,268.8,36.3,232.5,268.8
2024-09-24 16:00:00,3508.0,50.16,146.8,14.8,132.1,146.8
2024-09-24 17:00:00,0.0,46.9,110.2,17.7,92.5,110.2
2024-09-24 18:00:00,0.0,0.0,17.5,-0.1,17.6,17.5
2024-09-24 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-25 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-25 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-25 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-25 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-25 05:00:00,2837.0,40.69,0.0,0.0,0.0,0.0
2024-09-25 06:00:00,22525.0,43.69,0.2,0.0,0.2,0.2
2024-09-25 07:00:00,30221.0,50.2,33.5,0.7,32.8,33.5
2024-09-25 08:00:00,49580.0,57.06,275.2,117.2,158.0,275.2
2024-09-25 09:00:00,51360.0,62.72,575.8,387.0,188.8,575.8
2024-09-25 10:00:00,64160.0,68.03,792.7,572.2,220.5,792.7
2024-09-25 11:00:00,69210.0,64.89,874.5,580.8,293.7,874.5
2024-09-25 12:00:00,20449.0,58.96,911.0,581.4,329.6,911.0
2024-09-25 13:00:00,4473.0,49.34,635.7,227.6,408.1,635.7
2024-09-25 14:00:00,14981.0,51.09,107.3,-0.9,108.3,107.3
2024-09-25 15:00:00,24526.0,53.2,654.7,441.2,213.4,654.7
2024-09-25 16:00:00,2187.0,50.19,493.7,338.1,155.6,493.7
2024-09-25 17:00:00,0.0,45.67,246.3,130.8,115.5,246.3
2024-09-25 18:00:00,0.0,0.0,29.2,2.2,26.9,29.2
2024-09-25 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-25 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-25 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-25 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-25 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26 05:00:00,827.0,38.75,0.0,0.0,0.0,0.0
2024-09-26 06:00:00,14169.0,44.81,5.7,-0.2,5.8,5.7
2024-09-26 07:00:00,37120.0,49.61,142.0,59.6,82.4,142.0
2024-09-26 08:00:00,45990.0,56.47,354.5,207.5,147.0,354.5
2024-09-26 09:00:00,50900.0,59.24,486.5,265.4,221.1,486.5
2024-09-26 10:00:00,60900.0,58.51,658.0,373.8,284.2,658.0
2024-09-26 11:00:00,17518.0,53.76,708.5,340.2,368.3,708.5
2024-09-26 12:00:00,38980.0,55.41,619.2,200.8,418.4,619.2
2024-09-26 13:00:00,3132.0,49.61,474.5,89.5,385.0,474.5
2024-09-26 14:00:00,3328.0,48.58,358.0,47.0,311.0,358.0
2024-09-26 15:00:00,6672.0,47.97,326.0,68.5,257.5,326.0
2024-09-26 16:00:00,4069.0,48.01,106.2,6.1,100.1,106.2
2024-09-26 17:00:00,0.0,44.84,14.8,0.1,14.7,14.8
2024-09-26 18:00:00,0.0,0.0,16.5,-0.1,16.6,16.5
2024-09-26 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-27 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-27 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-27 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-27 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-27 05:00:00,523.0,39.91,0.0,0.0,0.0,0.0
2024-09-27 06:00:00,2104.0,44.6,1.8,-0.1,2.0,1.8
2024-09-27 07:00:00,9721.0,41.34,47.8,2.8,45.1,47.8
2024-09-27 08:00:00,52990.0,55.21,85.2,5.2,80.0,85.2
2024-09-27 09:00:00,22965.0,56.65,540.2,337.9,202.3,540.2
2024-09-27 10:00:00,27681.0,57.43,511.5,190.2,321.3,511.5
2024-09-27 11:00:00,27681.0,57.43,692.0,319.6,372.4,692.0
2024-09-27 12:00:00,27681.0,57.43,973.2,680.9,292.2,973.2
2024-09-27 13:00:00,27681.0,57.43,978.7,711.6,267.1,978.7
2024-09-27 14:00:00,27681.0,57.43,749.7,455.1,294.6,749.7
2024-09-27 15:00:00,27681.0,57.43,394.8,122.2,272.6,394.8
2024-09-27 16:00:00,27681.0,57.43,434.0,263.5,170.5,434.0
2024-09-27 17:00:00,27681.0,57.43,86.3,9.3,77.0,86.3
2024-09-27 18:00:00,27681.0,57.43,31.2,3.1,28.1,31.2
2024-09-27 19:00:00,27681.0,57.43,0.0,0.0,0.0,0.0
2024-09-27 20:00:00,27681.0,57.43,0.0,0.0,0.0,0.0
2024-09-27 21:00:00,27681.0,57.43,0.0,0.0,0.0,0.0
2024-09-27 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-27 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-28 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-28 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-28 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-28 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-28 05:00:00,988.0,38.23,0.0,0.0,0.0,0.0
2024-09-28 06:00:00,15759.0,45.02,5.0,-0.2,5.2,5.0
2024-09-28 07:00:00,35140.0,51.2,157.2,73.2,84.0,157.2
2024-09-28 08:00:00,57830.0,56.93,394.8,255.5,139.3,394.8
2024-09-28 09:00:00,65210.0,66.22,573.3,384.2,189.1,573.3
2024-09-28 10:00:00,19559.0,59.8,719.8,465.0,254.8,719.8
2024-09-28 11:00:00,24190.0,52.42,684.7,311.1,373.5,684.7
2024-09-28 12:00:00,75450.0,56.53,534.7,127.6,407.1,534.7
2024-09-28 13:00:00,55900.0,59.08,649.5,246.4,403.1,649.5
2024-09-28 14:00:00,15099.0,59.0,703.3,389.9,313.4,703.3
2024-09-28 15:00:00,11128.0,52.31,567.8,323.4,244.5,567.8
2024-09-28 16:00:00,9149.0,51.15,381.0,198.2,182.8,381.0
2024-09-28 17:00:00,0.0,48.81,159.3,49.4,109.9,159.3
2024-09-28 18:00:00,0.0,0.0,0.5,0.0,0.5,0.5
2024-09-28 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-28 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-28 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-28 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-28 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-29 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-29 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-29 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-29 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-29 05:00:00,990.0,39.79,0.0,0.0,0.0,0.0
2024-09-29 06:00:00,11589.0,42.51,4.3,-0.2,4.6,4.3
2024-09-29 07:00:00,22985.0,49.54,150.0,66.8,83.2,150.0
2024-09-29 08:00:00,15948.0,52.01,364.0,219.0,145.0,364.0
2024-09-29 09:00:00,33570.0,57.56,427.2,193.0,234.1,427.2
2024-09-29 10:00:00,63010.0,61.370000000000005,544.2,227.7,316.5,544.2
2024-09-29 11:00:00,66980.0,67.15,846.7,542.8,303.8,846.7
2024-09-29 12:00:00,59380.0,67.82000000000001,940.7,633.6,307.0,940.7
2024-09-29 13:00:00,49590.0,64.71000000000001,952.7,675.5,277.2,952.7
2024-09-29 14:00:00,7448.0,53.27,843.8,601.9,242.0,843.8
2024-09-29 15:00:00,7600.0,50.51,553.3,305.4,247.9,553.3
2024-09-29 16:00:00,4131.0,51.74,338.8,150.7,188.1,338.8
2024-09-29 17:00:00,0.0,49.34,40.3,1.1,39.2,40.3
2024-09-29 18:00:00,0.0,0.0,1.3,-0.1,1.4,1.3
2024-09-29 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-29 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-29 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-29 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-29 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30 05:00:00,1170.0,39.96,0.0,0.0,0.0,0.0
2024-09-30 06:00:00,12806.0,41.44,4.7,-0.2,4.9,4.7
2024-09-30 07:00:00,40020.0,50.59,143.7,61.1,82.6,143.7
2024-09-30 08:00:00,44300.0,54.09,321.3,168.4,152.9,321.3
2024-09-30 09:00:00,60440.0,61.33,498.3,282.0,216.3,498.3
2024-09-30 10:00:00,65280.0,67.0,760.0,526.5,233.5,760.0
2024-09-30 11:00:00,61680.0,70.3,876.5,590.0,286.5,876.5
2024-09-30 12:00:00,60360.0,72.49,970.2,681.3,288.8,970.2
2024-09-30 13:00:00,53150.0,68.84,956.5,683.6,272.9,956.5
2024-09-30 14:00:00,38930.0,63.9,844.3,604.8,239.5,844.3
2024-09-30 15:00:00,9973.0,51.92,696.2,509.9,186.3,696.2
2024-09-30 16:00:00,4728.0,51.01,427.5,259.0,168.5,427.5
2024-09-30 17:00:00,0.0,0.0,24.8,0.3,24.5,24.8
2024-09-30 18:00:00,0.0,0.0,4.8,-0.2,5.1,4.8
2024-09-30 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01 05:00:00,1263.0,39.85,0.0,0.0,0.0,0.0
2024-10-01 06:00:00,14696.0,44.21,5.0,-0.2,5.2,5.0
2024-10-01 07:00:00,32970.0,48.17,154.7,71.0,83.7,154.7
2024-10-01 08:00:00,9676.0,51.0,328.3,176.7,151.7,328.3
2024-10-01 09:00:00,12434.0,53.08,462.7,236.3,226.3,462.7
2024-10-01 10:00:00,62240.0,60.43,397.5,89.5,308.0,397.5
2024-10-01 11:00:00,21510.0,54.96,704.2,339.7,364.5,704.2
2024-10-01 12:00:00,64070.0,59.76,633.2,218.9,414.3,633.2
2024-10-01 13:00:00,13638.0,57.24,697.8,308.5,389.4,697.8
2024-10-01 14:00:00,40160.0,56.61,730.2,435.0,295.2,730.2
2024-10-01 15:00:00,8225.0,53.21,632.2,419.7,212.4,632.2
2024-10-01 16:00:00,4289.0,49.77,434.0,268.6,165.4,434.0
2024-10-01 17:00:00,0.0,47.18,169.0,59.2,109.8,169.0
2024-10-01 18:00:00,0.0,0.0,5.8,-0.3,6.1,5.8
2024-10-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
